Type,PNPDeviceID,VID,PID,Mark,ComPort
,USB\VID_04F2&PID_B684&MI_02\6&214513FE&0&0002,VID_04F2,PID_B684,,
,USB\VID_0403&PID_6010&MI_01\6&EAEB98&0&0001,VID_0403,PID_6010,,
MCU1,HID\VID_0483&PID_5750\6&395B3033&0&0000,VID_0483,PID_5750,,
,USB\VID_0403&PID_6010\5&3854BE70&0&2,VID_0403,PID_6010,,
,USB\VID_8087&PID_0026\5&3854BE70&0&10,VID_8087,PID_0026,,
,USB\VID_0483&PID_574F\386136463439,VID_0483,PID_574F,,
Artique1-1,FTDIBUS\VID_0403+PID_6010+5&3854BE70&0&2&1\0000,VID_0403,PID_6010,,COM9
MCU2,HID\VID_0483&PID_574F\6&39E841EA&0&0000,VID_0483,PID_574F,,
Artique1-2,FTDIBUS\VID_0403+PID_6010+5&3854BE70&0&2&2\0000,VID_0403,PID_6010,,COM8
,USB\VID_1EA7&PID_0064\6&189C254C&0&3,VID_1EA7,PID_0064,,
,USB\VID_04F2&PID_B684&MI_00\6&214513FE&0&0000,VID_04F2,PID_B684,,
,USB\VID_0403&PID_6010&MI_00\6&EAEB98&0&0000,VID_0403,PID_6010,,
,USB\VID_04F2&PID_B684\01.00.00,VID_04F2,PID_B684,,
,HID\VID_1EA7&PID_0064&COL01\7&32DA3CA8&0&0000,VID_1EA7,PID_0064,,
,USB\VID_05E3&PID_0610\5&3854BE70&0&1,VID_05E3,PID_0610,,
,USB\VID_0483&PID_5750\377F394E3437,VID_0483,PID_5750,,
,USB\VID_05E3&PID_0626\5&3854BE70&0&13,VID_05E3,PID_0626,,
,HID\VID_1EA7&PID_0064&COL02\7&32DA3CA8&0&0001,VID_1EA7,PID_0064,,
